rate,location,rest_type,cuisines
4.1,Banashankari,Casual Dining,"North Indian, Mughlai, Chinese"
4.1,Banashankari,Casual Dining,"Chinese, North Indian, Thai"
3.8,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian"
3.7,Banashankari,Quick Bites,"South Indian, North Indian"
3.8,Basavanagudi,Casual Dining,"North Indian, Rajasthani"
3.8,Basavanagudi,Casual Dining,North Indian
3.6,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese"
4.6,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian"
4.0,Banashankari,Cafe,"Cafe, Italian, Continental"
4.2,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages"
4.1,Banashankari,Cafe,Cafe
4.2,Banashankari,Cafe,"Cafe, Italian, Continental"
4.2,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian"
4.0,Banashankari,Cafe,"Cafe, Continental"
3.8,Banashankari,Cafe,Cafe
3.9,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos"
3.8,Banashankari,Cafe,"Chinese, Cafe, Italian"
3.9,Banashankari,Cafe,"Cafe, Italian, American"
3.1,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian"
3.0,Banashankari,Cafe,"Cafe, French, North Indian"
3.7,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages"
3.6,Banashankari,Cafe,"Cafe, Fast Food"
3.6,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European"
3.7,Banashankari,Cafe,Cafe
3.2,Banashankari,Cafe,"Cafe, Bakery"
3.8,Banashankari,"Cafe, Quick Bites","Cafe, South Indian"
3.3,Banashankari,Cafe,"Cafe, Fast Food, Beverages"
3.3,Banashankari,Cafe,"Cafe, Fast Food"
3.8,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food"
4.0,Basavanagudi,Cafe,"Cafe, Italian"
2.8,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger"
3.9,Banashankari,Delivery,"Bakery, Desserts"
3.9,Banashankari,Delivery,Pizza
4.2,Banashankari,Quick Bites,"North Indian, Biryani, Fast Food"
3.9,Banashankari,Delivery,Biryani
2.8,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food"
4.2,Banashankari,Casual Dining,"Chinese, Thai, Momos"
4.4,Jayanagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese"
4.0,Banashankari,Quick Bites,South Indian
3.8,Basavanagudi,Quick Bites,"Street Food, Fast Food"
3.9,Banashankari,Mess,South Indian
3.9,Banashankari,Quick Bites,"Burger, Fast Food"
3.9,Banashankari,Quick Bites,"Pizza, Fast Food"
3.8,Banashankari,Delivery,"North Indian, Continental, Italian"
3.6,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese"
4.0,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Rolls"
3.7,Rajarajeshwari Nagar,Casual Dining,"Chinese, Thai"
3.1,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Momos, Rolls"
3.7,Banashankari,Quick Bites,North Indian
4.1,Vijay Nagar,Quick Bites,"Fast Food, Street Food, Beverages"
4.3,Banashankari,Dessert Parlor,"Ice Cream, Desserts"
4.0,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian"
4.0,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos"
3.9,Banashankari,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger"
3.8,Banashankari,Quick Bites,"Biryani, Fast Food"
4.2,Banashankari,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos"
3.6,Banashankari,Quick Bites,"Fast Food, Burger"
3.7,Banashankari,Dessert Parlor,"Desserts, Beverages"
4.2,Banashankari,Casual Dining,"Italian, North Indian, Mexican"
3.6,Kumaraswamy Layout,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani"
3.8,Basavanagudi,Quick Bites,Chinese
4.0,Banashankari,Casual Dining,"North Indian, Chinese"
3.7,Banashankari,"Bakery, Dessert Parlor",Bakery
4.1,Basavanagudi,Quick Bites,"North Indian, Kebab, Chinese, Fast Food"
3.6,Jayanagar,Quick Bites,South Indian
4.1,Banashankari,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak"
3.8,Banashankari,Bakery,"Bakery, Desserts"
3.2,Basavanagudi,Quick Bites,"Burger, Fast Food, Beverages"
3.6,Banashankari,"Takeaway, Delivery","Italian, North Indian, Biryani"
4.1,Banashankari,Quick Bites,"Biryani, Chinese, Kebab"
0.0,Banashankari,Quick Bites,North Indian
2.9,Banashankari,Delivery,"Chinese, Continental, Italian, North Indian"
3.6,Banashankari,Quick Bites,"Fast Food, Rolls, Momos"
0.0,Banashankari,"Takeaway, Delivery","Street Food, Fast Food"
4.1,Basavanagudi,Quick Bites,South Indian
3.6,Banashankari,Quick Bites,"Biryani, South Indian"
3.7,Banashankari,Quick Bites,Fast Food
3.8,Banashankari,Quick Bites,"South Indian, Chinese, North Indian"
3.8,Vijay Nagar,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab"
4.2,Banashankari,Beverage Shop,"Beverages, Desserts, Ice Cream"
3.5,Banashankari,Sweet Shop,"Mithai, Street Food"
3.8,Banashankari,Casual Dining,"North Indian, Chinese"
0.0,Banashankari,Quick Bites,"South Indian, Chinese"
4.0,Banashankari,Bakery,"Bakery, Desserts"
4.4,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese"
3.5,Banashankari,Quick Bites,North Indian
3.5,Banashankari,Dessert Parlor,Desserts
3.7,Banashankari,Quick Bites,Biryani
0.0,Banashankari,Delivery,"Bakery, Desserts"
0.0,Banashankari,"Takeaway, Delivery",South Indian
0.0,Banashankari,Mess,South Indian
3.2,Banashankari,Dessert Parlor,Ice Cream
2.6,Banashankari,Casual Dining,North Indian
3.3,Banashankari,Bar,"South Indian, North Indian, Chinese"
3.8,Banashankari,Quick Bites,"Fast Food, Bakery"
